source_apartment_id,recommended_apartment_id,rank,similarity_score
76,249,1,0.8868094960786839
76,201,2,0.8707099356650477
76,544,3,0.820618766996799
76,581,4,0.780838541126008
76,495,5,0.7740982955861055
77,645,1,0.9888561618863496
77,78,2,0.9377979154486995
77,153,3,0.9364325112925436
77,152,4,0.9342905284814261
77,149,5,0.8713592317290235
78,77,1,0.9377979154486995
78,153,2,0.9364325112925436
78,150,3,0.9344216447124047
78,75,4,0.9342905284814261
78,645,5,0.9267450966913156
79,35,1,0.858794685200121
79,80,2,0.7724178251875465
79,291,3,0.7423329704331446
79,30,4,0.7411877972718945
79,325,5,0.7009017925505523
80,291,1,0.8675465822209311
80,30,2,0.8162801355066931
80,79,3,0.7724178251875465
80,67,4,0.7057332801741514
80,88,5,0.7040142055876064
81,610,1,0.8193447431384876
81,185,2,0.7711420771111545
81,475,3,0.7654287788361405
81,474,4,0.7469653647135923
81,609,5,0.7435405480435302
82,613,1,0.8524067298370984
82,612,2,0.8390211201949237
82,614,3,0.8149474325887609
82,431,4,0.8025813895537867
82,140,5,0.7928718177163521
83,280,1,0.7890617928008917
83,286,2,0.7609531771876334
83,112,3,0.731554302882817
83,117,4,0.7066237341453188
83,230,5,0.6839994208730246
84,334,1,0.8981648628170498
84,563,2,0.8506890990605885
84,85,3,0.8397278866791764
84,347,4,0.823660643792113
84,638,5,0.7645027697454745
85,563,1,0.9126344277336406
85,84,2,0.8397278866791764
85,638,3,0.7616697880397533
85,135,4,0.7610534188821386
85,347,5,0.7547976766045212
86,109,1,0.9466165064238539
86,437,2,0.7464535129144749
86,645,3,0.7381570714307796
86,77,4,0.7336732299077532
86,78,5,0.7336732299077532
87,101,1,0.9427532370526969
87,100,2,0.9354687926042023
87,418,3,0.8066164362327212
87,402,4,0.7997973294177043
87,401,5,0.797906078533144
88,681,1,0.8408467722167029
88,291,2,0.7775779339407366
88,27,3,0.765568990288937
88,30,4,0.7373704644729051
